timestamp,mode,action,ticker,shares,price,total_usd,strategy
2026-04-15 13:23:22,PAPER,BUY,SPY,1,694.4,694.4,TEST
2026-04-15 13:23:26,PAPER,BUY,QQQ,1,628.57,628.57,TEST
2026-04-15 13:23:30,PAPER,BUY,AAPL,1,258.855,258.86,TEST
2026-04-15 13:23:34,PAPER,BUY,TSLA,1,364.16,364.16,TEST
2026-04-15 13:23:39,PAPER,BUY,NVDA,1,196.49,196.49,TEST
2026-04-15 13:23:43,PAPER,BUY,SOXL,1,85.39,85.39,TEST
2026-04-15 13:23:49,PAPER,BUY,TSLL,1,11.539,11.54,TEST
2026-04-15 13:23:53,PAPER,BUY,NVDL,1,91.54,91.54,TEST
2026-04-15 13:23:57,PAPER,BUY,TQQQ,1,53.425,53.42,TEST
2026-04-15 13:29:03,PAPER,SELL,SPY,1,694.4,694.4,TEST
2026-04-15 13:29:08,PAPER,SELL,QQQ,1,628.57,628.57,TEST
2026-04-15 13:29:14,PAPER,SELL,AAPL,1,258.855,258.86,TEST
2026-04-15 13:29:20,PAPER,SELL,TSLA,1,364.16,364.16,TEST
2026-04-15 13:29:25,PAPER,SELL,NVDA,1,196.49,196.49,TEST
2026-04-15 13:29:31,PAPER,SELL,SOXL,1,85.39,85.39,TEST
2026-04-15 13:29:36,PAPER,SELL,TSLL,1,11.539,11.54,TEST
2026-04-15 13:29:41,PAPER,SELL,NVDL,1,91.54,91.54,TEST
2026-04-15 13:29:47,PAPER,SELL,TQQQ,1,53.425,53.42,TEST
2026-04-15 14:08:24,PAPER,BUY,QQQ,1,632.695,632.7,GAP
2026-04-15 14:08:28,PAPER,BUY,SOXL,1,81.7733,81.77,VWAP_RSI
2026-04-15 14:08:32,PAPER,BUY,TSLL,7,13.0101,91.07,BOLLINGER
2026-04-15 14:08:36,PAPER,BUY,NVDL,1,92.39,92.39,ORB
2026-04-15 14:09:42,PAPER,SELL,SPY,1,697.16,697.16,EMA
2026-04-15 14:09:45,PAPER,SELL,QQQ,1,632.58,632.58,GAP
2026-04-15 14:09:49,PAPER,SELL,SOXL,1,81.61,81.61,VWAP_RSI
2026-04-15 14:09:53,PAPER,SELL,TSLL,7,13.015,91.11,BOLLINGER
2026-04-15 14:09:56,PAPER,SELL,NVDL,1,92.33,92.33,ORB
2026-04-15 14:10:05,PAPER,BUY,SPY,1,697.265,697.26,EMA
2026-04-15 14:11:10,PAPER,SELL,SPY,1,697.17,697.17,EMA
2026-04-15 14:11:20,PAPER,BUY,QQQ,1,632.4899,632.49,GAP
2026-04-15 14:12:23,PAPER,SELL,QQQ,1,632.68,632.68,GAP
2026-04-15 14:12:31,PAPER,BUY,SOXL,1,81.6107,81.61,VWAP_RSI
2026-04-15 14:13:37,PAPER,SELL,SOXL,1,81.7,81.7,VWAP_RSI
2026-04-15 14:13:46,PAPER,BUY,TSLL,7,12.9885,90.92,BOLLINGER
2026-04-15 14:14:51,PAPER,SELL,TSLL,7,12.9955,90.97,BOLLINGER
2026-04-15 14:15:49,PAPER,BUY,NVDL,1,92.41,92.41,ORB
2026-04-15 14:16:55,PAPER,SELL,NVDL,1,92.23,92.23,ORB
