Estrategia,Activo,Score,Veredicto,PF,Trades
Bot_AnchorVWAP,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_ORB,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_Vela_Pivot,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_VW_MACD,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_VWAP_ZScore,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_VRP,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_VIX_Squeeze,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_VIX_MeanReversion,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_VIX_Correlation,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_TickTrin_Fade,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_TSV,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_Supertrend,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_Strategy,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_StopRun,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_Squeeze,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_RVOL_Breakout,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_RSI_SMA200,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_VolumeReversal,SPY,90.0,ACTIVAR,2.043055794763,116
V3_Bulls_BSP,SPY,90.0,ACTIVAR,2.043055794763,116
V3_Buy_Pressure,SPY,90.0,ACTIVAR,2.043055794763,116
V3_EMA_Crossover,SPY,90.0,ACTIVAR,2.043055794763,116
V3_Volume_Breakout,SPY,90.0,ACTIVAR,2.043055794763,116
V3_VWAP_Momentum,SPY,90.0,ACTIVAR,2.043055794763,116
V3_Sell_Pressure,SPY,90.0,ACTIVAR,2.043055794763,116
V3_Opening_Range,SPY,90.0,ACTIVAR,2.043055794763,116
V3_Net_BSV,SPY,90.0,ACTIVAR,2.043055794763,116
V3_MACD_Accel,SPY,90.0,ACTIVAR,2.043055794763,116
V3_Donchian_Turtle,SPY,90.0,ACTIVAR,2.043055794763,116
V3_Combo1_EMA_Scalper,SPY,90.0,ACTIVAR,2.043055794763,116
V3_Combo7_Campbell,SPY,90.0,ACTIVAR,2.043055794763,116
V3_Combo6_FractalCCI,SPY,90.0,ACTIVAR,2.043055794763,116
V3_Combo5_BTD,SPY,90.0,ACTIVAR,2.043055794763,116
V3_Combo4_SlimRibbon,SPY,90.0,ACTIVAR,2.043055794763,116
V3_Combo3_Nino_Squeeze,SPY,90.0,ACTIVAR,2.043055794763,116
V3_Combo2_Rubber_Band,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_OpeningDrive,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_VWAP_RSI,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_Gap,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_EMA_TSI,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_MACD_BB,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_Bollinger,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_OBV,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_HH_LL,SPY,90.0,ACTIVAR,2.043055794763,116
Bot_HA_Cloud,SPY,90.0,ACTIVAR,2.043055794763,116
V3_Donchian_Turtle,AAPL,75.0,CONSIDERAR,1.8459264272421778,105
V3_Combo7_Campbell,AAPL,75.0,CONSIDERAR,1.8459264272421778,105
Bot_VIX_Squeeze,AAPL,75.0,CONSIDERAR,1.8459264272421778,105
Bot_VIX_MeanReversion,AAPL,75.0,CONSIDERAR,1.8459264272421778,105
V3_EMA_Crossover,AAPL,75.0,CONSIDERAR,1.8459264272421778,105
Bot_VIX_Correlation,AAPL,75.0,CONSIDERAR,1.8459264272421778,105
