Estrategia,Activo,Score,Veredicto,PF,Trades,PnL
Bot_Bollinger_RSI_Sensitive,SPY,90.0,ACTIVAR,38.51917890558205,17,0
FASE4_Confluence_TS_64,SPY,90.0,ACTIVAR,30.72809486829525,17,0
Bot_Bollinger_RSI_Sensitive,AAPL,90.0,ACTIVAR,14.782041341042797,30,0
Bot_Bollinger_RSI_Sensitive,QQQ,90.0,ACTIVAR,14.018190081419126,20,0
FASE4_Confluence_TS_64,QQQ,90.0,ACTIVAR,11.6769731888768,20,0
Bot_ORB_Sensitive,AAPL,90.0,ACTIVAR,5.484645038316488,76,0
FASE4_Confluence_TS_64,AAPL,90.0,ACTIVAR,3.6786794351277035,31,0
FASE4_Confluence_TS_79,AAPL,90.0,ACTIVAR,2.5102275182321696,77,0
Bot_Bollinger_RSI_Sensitive,MSFT,90.0,ACTIVAR,2.346131731516551,16,0
FASE4_Confluence_ATR_68,SPY,90.0,ACTIVAR,2.0848120430396495,42,0
Bot_ORB_Sensitive,SPY,90.0,ACTIVAR,2.058748710223549,92,0
Bot_RSI_SMA100,SPY,75.0,CONSIDERAR,1.8557893501915592,116,0
Bot_RSI_SMA100,AAPL,75.0,CONSIDERAR,1.7986822131892435,122,0
FASE4_Confluence_TS_79,SPY,75.0,CONSIDERAR,1.725055800989971,92,0
Bot_ORB_Sensitive,QQQ,75.0,CONSIDERAR,1.7203374729496705,86,0
Bot_Bollinger_RSI_Sensitive,TSLA,75.0,CONSIDERAR,1.55062622371398,17,0
FASE4_Confluence_ATR_68,QQQ,75.0,CONSIDERAR,1.5439574696692349,54,0
FASE4_Confluence_TS_64,MSFT,60.0,CONSIDERAR,1.4995013956520862,18,0
FASE4_Confluence_TS_79,QQQ,60.0,CONSIDERAR,1.4920429777533784,86,0
FASE4_Confluence_ATR_68,MSFT,60.0,CONSIDERAR,1.4161874297108341,129,0
Bot_RSI_SMA100,QQQ,60.0,CONSIDERAR,1.3873187557173194,129,0
Bot_RSI_SMA100,MSFT,60.0,CONSIDERAR,1.2146587943152607,178,0
FASE4_Confluence_TS_64,TSLA,40.0,RECHAZAR,1.0595926443085022,25,0
Bot_ORB_Sensitive,TSLA,40.0,RECHAZAR,1.0558600195026677,57,0
Bot_RSI_SMA100,TSLA,40.0,RECHAZAR,1.0420546906383918,113,0
FASE4_Confluence_ATR_68,AAPL,0.0,RECHAZAR,0.9448936901703069,86,0
FASE4_Confluence_ATR_68,TSLA,0.0,RECHAZAR,0.900344826326078,143,0
FASE4_Confluence_TS_79,TSLA,0.0,RECHAZAR,0.8601703330513149,64,0
Bot_ORB_Sensitive,MSFT,0.0,RECHAZAR,0.7839449086462296,72,0
FASE4_Confluence_TS_79,MSFT,0.0,RECHAZAR,0.6514018796079232,74,0
